,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2967,Philippines,PHI,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Featherweight,Silver
2968,Gabon,GAB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Heavyweight,Silver
2969,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Super-Heavyweight,Gold
2970,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Middleweight,Bronze
2971,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,Bronze
2973,Australia,AUS,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Triple Jump,Gold
2978,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2979,Germany,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
2980,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
2981,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Bronze
2982,Germany,GER,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
2984,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 15 kilometres,Gold
2985,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Silver
2986,Germany,GER,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,Silver
2987,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
2988,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Gold
2989,Portugal,POR,1924 Summer,1924,Summer,Paris,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
2992,Portugal,POR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",Bronze
2996,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
2997,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,Silver
2998,Rowing Club Castillon-3,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
2999,France,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
3000,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,Bronze
3001,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
3002,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
3004,France,FRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Silver
3005,Canada,CAN,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Middleweight,Bronze
3006,Switzerland,SUI,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
3007,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Gold
3008,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
3009,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
3010,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3011,Austria,AUT,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
3014,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Alpinism,Alpinism Mixed Alpinism,Gold
3016,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
3017,Austria,AUT,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
3018,Austria,AUT,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
3019,Austria,AUT,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
3020,Germany,GER,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Silver
3021,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Bronze
3022,"Philadelphia Turngemeinde, Philadelphia",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Gold
3023,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Gold
3024,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Horse Vault,Gold
3025,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
3026,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Side Horse,Gold
3027,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Parallel Bars,Silver
3031,Yugoslavia,YUG,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around,Bronze
3032,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
3033,Denmark,DEN,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",Gold
3035,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
3036,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horse Vault,Bronze
3037,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Aerials,Gold
3038,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,Bronze
3039,Russia-1,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,Gold
3040,Russia-2,RUS,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Pairs,Silver
3041,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's Sprint,Gold
3042,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,Silver
3045,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
3046,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
3049,West Germany,FRG,1980 Winter,1980,Winter,Lake Placid,Luge,Luge Men's Singles,Bronze
3050,Austria,AUT,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,Silver
3051,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
3052,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
3053,Italy,ITA,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Women's Points Race,Gold
3054,Italy,ITA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
3055,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Team",Bronze
3056,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Individual",Bronze
3057,Italy,ITA,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",Gold
3058,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
3060,Poland,POL,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Middleweight,Silver
3062,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
3063,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
3064,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
3065,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
3066,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
3067,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
3068,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's High Jump,Silver
3069,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Quadruple Sculls,Bronze
3070,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Single Sculls,Silver
3071,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,Silver
3072,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Gold
3075,Spain,ESP,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Silver
3079,Italy,ITA,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
3081,Italy,ITA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Bronze
3082,Venilia,ITA,1960 Summer,1960,Summer,Roma,Sailing,Sailing Mixed Three Person Keelboat,Bronze
3084,Italy,ITA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's Sabre, Masters, Individual",Gold
3086,United States,USA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,Bronze
3087,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
3088,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Bronze
3090,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Silver
3091,Spain,ESP,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,Silver
3095,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
3099,Italy,ITA,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
3100,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Heavyweight,Silver
3101,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold
3102,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
3103,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver
3104,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,Silver
3108,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Bronze
3112,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Featherweight,Gold
3113,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
3114,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
3115,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
3116,Italy,ITA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
3117,Italy,ITA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
3121,Italy,ITA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
3122,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",Bronze
3123,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Gold
3124,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Foil, Team",Silver
3125,Italy-1,ITA,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Two,Gold
3128,Thessalonki-1,GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze
3129,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 500 metres Freestyle,Silver
3131,Omas Helliniki P. S.,GRE,1906 Summer,1906,Summer,Athina,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
3132,Netherlands,NED,1920 Summer,1920,Summer,Antwerpen,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
3133,Indonesia-1,INA,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Doubles,Bronze
3134,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Cycling,Cycling Men's Sprint,Silver
3136,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Open Class,Gold
3137,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
3140,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Bronze
3141,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
3142,Australia,AUS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Heavyweight,Bronze
3143,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
3144,Finland,FIN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3146,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,Bronze
3147,Finland,FIN,1960 Winter,1960,Winter,Squaw Valley,Biathlon,Biathlon Men's 20 kilometres,Silver
3148,Finland,FIN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,Bronze
3150,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
3153,Finland,FIN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,Silver
3156,Yugoslavia,YUG,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Silver
3157,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxless Fours,Bronze
3163,Russia-2,RUS,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
3165,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Heavyweight,Bronze
3166,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
3167,United States,USA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Bronze
3169,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Bronze
3170,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
3171,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
3172,United States,USA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
3173,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
3174,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Silver
3175,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
3176,United States,USA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
3177,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
3178,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
3179,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,Bronze
3181,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
3182,Germany,GER,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
3183,France,FRA,1900 Summer,1900,Summer,Paris,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,Silver
3185,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Gold
3186,Canada,CAN,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,Silver
3187,Bohemia/Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Bronze
3188,Canada,CAN,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxless Fours,Silver
3189,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres,Gold
3190,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres,Bronze
3191,Indonesia,INA,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,Silver
3192,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
3193,Romania,ROU,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Discus Throw,Silver
3194,Argentina,ARG,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Heavyweight,Gold
3197,Finland,FIN,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
3198,Finland,FIN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold
3199,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
3200,Germany,GER,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Bronze
3201,Germany,GER,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Bronze
3203,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Team",Gold
3204,Italy,ITA,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Foil, Individual",Silver
3206,Italy,ITA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
3207,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
3208,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Bronze
3209,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
3210,Italy,ITA,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver
3212,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Bronze
3213,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
3214,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Cycling,Cycling Men's Sprint,Silver
3215,Mascotte,NED,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 3-10 Ton,Silver
3216,Israel,ISR,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,Bronze
3217,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver
3218,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,Gold
3219,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Middleweight,Gold
3220,Uruguay,URU,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Bronze
3224,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,Gold
3225,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
3227,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Gold
3228,Greece,GRE,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 25 metres",Bronze
3229,Greece,GRE,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
3231,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,Bronze
3232,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
3234,Poland,POL,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Team",Gold
3235,Poland,POL,1992 Summer,1992,Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
3236,Poland,POL,1992 Summer,1992,Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
3237,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Silver
3238,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Bronze
3239,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Bronze
3240,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
3241,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
3242,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
3244,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,Silver
3247,Thailand,THA,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
3248,Thailand,THA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Flyweight,Bronze
3249,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,Gold
3250,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold
