,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
14795,Humbug V,SWE,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Two Person Keelboat,Bronze
14798,Denmark,DEN,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Bronze
14799,Denmark,DEN,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Bronze
14800,Denmark,DEN,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Silver
14808,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,Bronze
14809,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,Silver
14812,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
14814,Vietnam,VIE,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Bantamweight,Silver
14815,South Korea-1,KOR,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Doubles,Bronze
14820,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Lightweight,Bronze
14821,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Horse Vault,Gold
14822,Vietnam,VIE,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
14823,Vietnam,VIE,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
14827,United States,USA,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Welterweight,Silver
14828,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,Gold
14829,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
14835,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Cycling,Cycling Men's Sprint,Silver
14837,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Pairs,Bronze
14838,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres,Silver
14842,Germany,GER,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,Silver
14845,West Germany,FRG,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Two,Silver
14846,West Germany,FRG,1972 Winter,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Two,Silver
14850,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Luge,Luge Mixed (Men)'s Doubles,Gold
14867,Iran,IRI,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
14868,Iran,IRI,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
14869,Iran,IRI,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,Gold
14871,China,CHN,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,Gold
14872,China,CHN,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Featherweight,Silver
14876,United States,USA,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,Gold
14881,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 800 metres,Silver
14882,United States,USA,1952 Winter,1952,Winter,Oslo,Bobsleigh,Bobsleigh Men's Four,Silver
14883,Singapore,SGP,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Lightweight,Silver
14884,Armenia,ARM,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Lightweight,Bronze
14885,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
14887,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,Gold
14888,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,Silver
14889,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
14891,Armenia,ARM,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze
14892,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
14894,Yugoslavia,YUG,1956 Summer,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Silver
14895,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Team All-Around,Bronze
14897,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,Silver
14898,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,Silver
14899,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Horse Vault,Silver
14900,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
14903,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",Gold
14904,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Individual",Silver
14906,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
14907,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
14908,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight,Gold
14909,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Featherweight,Gold
14910,Chinese Taipei,TPE,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Featherweight,Silver
14911,China,CHN,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Bronze
14912,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,Gold
14913,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,Silver
14914,China,CHN,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Synchronized Platform,Silver
14915,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,Bronze
14917,China,CHN,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,Silver
14918,Chinese Taipei,TPE,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,Bronze
14919,Chinese Taipei,TPE,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Featherweight,Silver
14922,China,CHN,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Singles,Bronze
14926,China,CHN,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Women's Doubles,Silver
14928,China,CHN,2004 Summer,2004,Summer,Athina,Trampolining,Trampolining Women's Individual,Bronze
14929,China,CHN,2012 Summer,2012,Summer,London,Trampolining,Trampolining Women's Individual,Silver
14930,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",Bronze
14931,China,CHN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Running Target, 50 metres",Silver
14934,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
14935,China,CHN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Lightweight Double Sculls,Silver
14936,China,CHN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,Silver
14937,China,CHN,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Gold
14940,China,CHN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
